Line Description,Tran. Code,Tran. Description,User / ICBA Defined
CURRENT ACCOUNT,101,Cash Deposit,User
CURRENT ACCOUNT,102,Cheque Deposit,User
CURRENT ACCOUNT,103,Journal Deposit,User
CURRENT ACCOUNT,104,MO/PO Deposit,User
CURRENT ACCOUNT,105,House Cheque Deposit,User
CURRENT ACCOUNT,106,Late Cheque Deposit,User
CURRENT ACCOUNT,120,Bulk Cheque Deposit,User
CURRENT ACCOUNT,122,Marked Cheque Deposit/Special Clearing,User
CURRENT ACCOUNT,132,OCP Deposit,User
CURRENT ACCOUNT,133,LCP Deposit,User
CURRENT ACCOUNT,134,Foreign Cheque Deposit,User
CURRENT ACCOUNT,135,Force Clearance on Foreign Chq/FCP,User
CURRENT ACCOUNT,136,FCP Deposit,User
CURRENT ACCOUNT,173,Write Off OD,System
CURRENT ACCOUNT,182,Force Clearance On Cheque,User
CURRENT ACCOUNT,184,Force Clearance On MO/PO,User
CURRENT ACCOUNT,186,Make 1 Day Float Clearance,System
CURRENT ACCOUNT,189,DIRECT CREDIT,System
CURRENT ACCOUNT,192,Auto Cheque Clearance,System
CURRENT ACCOUNT,193,Interest Crediting,System
CURRENT ACCOUNT,198,Salary Cheque (Employee),System
CURRENT ACCOUNT,199,Reversal Of Charges,System
CURRENT ACCOUNT,201,Cash Cheque Withdrawal,User
CURRENT ACCOUNT,202,Inward Clearing Cheque,User
CURRENT ACCOUNT,203,Journal Withdrawal/Debit Advice,User
CURRENT ACCOUNT,206,Counter Cheque Withdrawal,User
SAVINGS ACCOUNT,107,Cash Deposit With Book,User
CURRENT ACCOUNT,210,Balance Below Zero,System
CURRENT ACCOUNT,212,House Cheque Debit,User
CURRENT ACCOUNT,222,Debit Cheque Marked,User
CURRENT ACCOUNT,240,Close Account,User
CURRENT ACCOUNT,241,Close Account By Cash,System
CURRENT ACCOUNT,242,Close Account By Cheque,System
CURRENT ACCOUNT,243,Close UMA-3 Account,System
CURRENT ACCOUNT,289,DIRECT DEBIT,System
CURRENT ACCOUNT,292,Bank Commission Charges,System
CURRENT ACCOUNT,293,OD Debit Interest,System
CURRENT ACCOUNT,294,Inward Return Charges,System
CURRENT ACCOUNT,296,Witholding Tax,System
CURRENT ACCOUNT,297,Bill Payment(ATM/TELEBANKING),System
CURRENT ACCOUNT,298,Salary Cheque Return (Employee),System
SAVINGS ACCOUNT,207,Cash Withdrawal Without Book,User
CURRENT ACCOUNT,302,Inward Cheque Return,User
CURRENT ACCOUNT,303,Cheque Return After Clearance,System
CURRENT ACCOUNT,304,Reversal of Inward Return,System
CURRENT ACCOUNT,305,Foreign Cheque Return,User
CURRENT ACCOUNT,306,MO/PO Return,User
CURRENT ACCOUNT,309,Error Correction,User
CURRENT ACCOUNT,321,Outward Cash Return,User
CURRENT ACCOUNT,322,Outward Cheque Return,User
CURRENT ACCOUNT,401,Open New Account,User
CURRENT ACCOUNT,411,REPLACE OLD PASSBOOK,User
CURRENT ACCOUNT,501,Claw Back Interest Earn,System
CURRENT ACCOUNT,699,Interest Accrual,System
CURRENT ACCOUNT,701,ATM Deposit Cash,System
CURRENT ACCOUNT,702,ATM Deposit Cheque,System
CURRENT ACCOUNT,209,Temporary OD Granted,System
CURRENT ACCOUNT,704,ATM/TELEBANKING Enquiry,System
SAVINGS ACCOUNT,209,Journal Withdrawal  Without Book,User
CURRENT ACCOUNT,709,eChannel Transfer Out,System
CURRENT ACCOUNT,713,ATM/eBanking Payment In,System
CURRENT ACCOUNT,719,eChannel Payment out,System
CURRENT ACCOUNT,299,Miscellaneous Charges,System
CURRENT ACCOUNT,726,POS Purchase Without Pin,System
SAVINGS ACCOUNT,299,Miscellaneous Charges,System
CURRENT ACCOUNT,743,IIS Reversed,System
CURRENT ACCOUNT,771,Charges (Salary/IB Trans) Pay Cash,System
CURRENT ACCOUNT,776,Change Of Rate,System
CURRENT ACCOUNT,777,Change Of Product Line and Type,System
CURRENT ACCOUNT,778,Create Facility/Special Adjustment,System
CURRENT ACCOUNT,779,Change Of Accrual,System
CURRENT ACCOUNT,801,Revalidate Voucher,User
CURRENT ACCOUNT,802,PRINT PASSBOOK,User
CURRENT ACCOUNT,803,Revalidate Cheque,User
CURRENT ACCOUNT,804,Reprint Bankers Cheque,User
CURRENT ACCOUNT,805,PRINT PASSBOOK COVER,User
CURRENT ACCOUNT,806,Reprint Credit/Debit Advice,User
CURRENT ACCOUNT,807,Reprint Inward Cheque Return,User
CURRENT ACCOUNT,809,Reprint Specimen Card,User
CURRENT ACCOUNT,911,Print Account Balance,User
CURRENT ACCOUNT,B/F,Brought Forward,System
CUSTOMER INFORMATION FILE,152,Salary Crediting By Cheque,System
CUSTOMER INFORMATION FILE,153,Salary Crediting By Journal,System
CUSTOMER INFORMATION FILE,182,Force Cheque Clearance,System
CUSTOMER INFORMATION FILE,183,Force Clearance On Salary Cheq,System
CUSTOMER INFORMATION FILE,192,Auto Cheque Clearance,System
CUSTOMER INFORMATION FILE,197,Salary Cheque Clearance,System
CUSTOMER INFORMATION FILE,296,Witholding Tax,System
CUSTOMER INFORMATION FILE,299,Miscellaneous Charges,System
CUSTOMER INFORMATION FILE,302,Cheque Return,System
